Name of Project,Description
-Stream NFT,"An NFT that entitles the owner to all the incoming streams of bucks. When the NFT changes ownership, the new owner receives the streams"
Stream lottery,Use the base contract used in  and make it better by including more gamified dynamics.
Stream auction,"Owner of an NFT is determined by the highest bidder at any given time. If a user stops their stream, the NFT goes to the second highest bidder"
Piece Token,Hold a token for the right to receive dividends from the issuer
windfalls NFT,An NFT that sends its owner a reward token (ie $meme) for as long as they hold it.
Harberger Tax NFT,"An implementation where resources (could be NFTs) are assigned to participants based on a Harberger Tax implementation. Taxes are paid in streams, and in order to take over  a property you must pay the previous owner+start a new stream. This double action can be implemented using the Superfluid Batch Calls."
Metaverse poster renting,Rent space on a virtual billboard (decentraland/cryptovoxels/sandbox) based on a streaming auction. Tokenize the revenue stream so the owners can also sell this revenue to others!
 Stream exchange,"Users can exchange stablecoins through a simple ""constant sum"" AMM. This would mean sending a 1DAI/s stream I would receive back a 1USDC/s stream (minus a fee). This would also have mechanisms to ensure the exchange is always funded so streams never fail."
Stream issuance contract,"Issue a constant stream of your tokens. To buy, winners send streams of stablecoins. The highest bidder is chosen through a continuous auction"
Bucks Cost Averaging,"Users send a stream of DAI towards a pooling contract. Periodically, someone converts the accumulated DAI to ETH and distributes it to all the streamers."
Stream investments,"Stream into a pooling contract, which periodically invests into DeFi strategies (yearn? ETH2 staking? 100x leveraged trading? Who knows!)"
Tokenized Reward Distributor," A contract that issues tokens that entitle holders to a % of rewards, structured through an IDA. The contract implements an ERC777 hook, so by simply sending to the contract, tokens fan out to all recipients."
Generic spike contract,"Anyone can send streams to a pool. Everyone's contributions are accounted for properly. As a primitive, what is done with the pooled cash isn't defined"
Income Share Agreement,"Users create a superApp to collect their income. Whenever they get paid by their employer, the money should go through this contract.

They then raise money from investors, selling 10/20/30% of their future income in return for instant funds. [Read more on ISAs](https://en.wikipedia.org/wiki/Income_share_agreement)"
Extreammoney ,Use streams to handle cashflows in a food supply chain management system. A transparent fast and efficient system to help the food suppliers track finances.
SuperStream,We are hoping to build an AMM that would allow for exchanging supertokens with the help of streams.
Gainpack,"
My hack will have a direct streaming of earned interest from Farming to pay back the debt from your trove. "
SuperPrint,"I want to make a NFT copy machine. First thought, is just to make a copy of ""any"" NFT token to other EVM networks, or it can copy any NFT token and stream out in realtime."
BuyMeACoffee Clone,It is clone of buymeacoffee.com. Creators can create a profile and get supporters and members for their posts and other services. Superfluid will be used for subscriptions to various services.
Equity vesting for startups,As a business owner I would like to have a simple UI to issue tokens and give vesting rewards to employees through Superfluid streams
Leagal Membership Communities,"
The concept is to develop a DAO framework-agnostic platform for launching self-governing membership communities. Think Patreon but with the funds collected from membership subscriptions pooled into a DAO, deployed via a grants contest mechanism. Membership tokens could be distributed for a period of time via rental functionality, tethered to a payment stream from the member's wallet. In addition, members could receive currency as an economic incentive for participating in grant contests using Super Fluid Instant Distribution Agreements. The project aims to provide an open-source, easy to use tool for awarding grassroots crypto-based funding to a broader spectrum of activities outside of software development - Music, Film, Sporting Events, Charitable Causes."
Inspection,"Lets say if have a ERC721 Contract with 26 Tokens A, B, C...Z. 1. Alice create a new Token ""ABC"" which include A, B and C for 1 Eth. The Stream send 0.3 each to A, B and C. 2. Bob create a Token ""ABC-Z"" which include ABC and Z for 1 Eth. The Stream send 0.5 to Z and 0.5 to ""ABC"" which send 0.16 to each A, B and C."
